Priority,Type,"ID
 ","Title
 ","Year
 ","Venue
 ","First Author
 ","Domain
 ","PDF Saved
 ","Assigned To
 ","Status
 ","Notes
 ",Key words,,,,,,,,,,,,,,
High,,89,PsyDT: Using LLMs to Construct the Digital Twin of Psychological Counselor with Personalized Counseling Style for Psychological Counseling,2025,ACL,Haojie Xie,,89.pdf,,,,"Digital Twin, Psychological Counseling, Large Language Models, Personalized Counseling Style, Multi-turn Dialogue",,,,,,,,,,,,,,
High,,91,A Systematic Evaluation of LLM Strategies for Mental Health Text Analysis: Fine-tuning vs. Prompt Engineering vs. RAG,2025,CLPsych,Arshia Kermani,,91.pdf,,,,"mental health text analysis, LLM, fine-tuning, prompt engineering, RAG",,,,,,,,,,,,,,
High,,92,How Well Can Large Language Models Reflect? A Human Evaluation of LLM-generated Reflections for Motivational Interviewing Dialogues,2025,COLING,Erkan Başar,,92.pdf,,,,"Large Language Models, Motivational Interviewing, Reflection Generation, Human Evaluation, Dialogue Generation",,,,,,,,,,,,,,
High,,93,Reframe Your Life Story: Interactive Narrative Therapist and Innovative Moment Assessment with Large Language Models,2025,EMNLP,Yi Feng,,93.pdf,,,,"narrative therapy, large language models, mental health, innovative moment assessment, psychotherapy simulation",,,,,,,,,,,,,,
High,,94,MultiAgentESC: A LLM-based Multi-Agent Collaboration Framework for Emotional Support Conversation,2025,EMNLP,Yangyang Xu,,94.pdf,,,,"Multi-agent collaboration, Emotional support conversation, Large language models, Response generation, Strategy selection",,,,,,,,,,,,,,
High,,95,MIRROR: Multimodal Cognitive Reframing Therapy for Rolling with Resistance,2025,EMNLP,Subin Kim,,95.pdf,,,,"multimodal cognitive reframing, client resistance, synthetic dataset, vision-language model, cognitive behavioral therapy",,,,,,,,,,,,,,
High,,96,Exploring the Role of Mental Health Conversational Agents in Training Medical Students and Professionals: A Systematic Literature Review,2025,ACL,Thushari Atapattu,,96.pdf,,,,"mental health, conversational agents, medical training, systematic literature review, AI",,,,,,,,,,,,,,
High,,97,Can You Share Your Story? Modeling Clients' Metacognition and Openness for LLM Therapist Evaluation,2025,ACL,Minju Kim,,97.pdf,,,,"LLM therapist evaluation, client simulator, metacognition, openness, exploration ability",,,,,,,,,,,,,,
High,,98,A Survey of Large Language Models in Psychotherapy: Current Landscape and Future Directions,2025,ACL,Hongbin Na,,98.pdf,,,,"large language models, psychotherapy, mental health, survey, clinical NLP",,,,,,,,,,,,,,
High,,99,Eeyore: Realistic Depression Simulation via Expert-in-the-Loop Supervised and Preference Optimization,2025,ACL,Siyang Liu,,99.pdf,,,,"depression simulation, large language model, expert-in-the-loop, preference optimization, clinical training",,,,,,,,,,,,,,
High,,100,Feel the Difference? A Comparative Analysis of Emotional Arcs in Real and LLM-Generated CBT Sessions,2025,EMNLP,Xiaoyi Wang,,100.pdf,,,,"emotional arcs, CBT, synthetic dialogues, LLM, mental health",,,,,,,,,,,,,,
High,,101,PersonaGym: Evaluating Persona Agents and LLMs,2025,EMNLP,Vinay Samuel,,101.pdf,,,,"persona agents, LLM evaluation, PersonaScore, dynamic evaluation, benchmark",,,,,,,,,,,,,,
High,,102,MIND: Towards Immersive Psychological Healing with Multi-Agent Inner Dialogue,2025,EMNLP,Yujia Chen,,102.pdf,,,,"multi-agent system, psychological healing, inner dialogue, large language models, empathy training",,,,,,,,,,,,,,
Low,,104,Future of ADHD Care: Evaluating the Efficacy of ChatGPT in Therapy Enhancement,2024,MDPI(Healthcare),Santiago Berrezueta-Guzman,,104.pdf,,,,"artificial intelligence, LLMs, cognitive therapy, ADHD, ChatGPT",,,,,,,,,,,,,,
High,,106,CBT-LLM: A Chinese Large Language Model for Cognitive Behavioral Therapy-based Mental Health Question Answering,2024,ACL,Hongbin Na,,106.pdf,,,,"Large Language Model, Cognitive Behavioral Therapy, Mental Health, Question Answering, Chinese",,,,,,,,,,,,,,
High,,107,Cognitive Reframing of Negative Thoughts through Human-Language Model Interaction,2023,ACL,Ashish Sharma,,107.pdf,,,,"cognitive reframing, language model, negative thoughts, mental health, human-AI interaction",,,,,,,,,,,,,,
High,,108,Can Large Language Models be Good Emotional Supporter? Mitigating Preference Bias on Emotional Support Conversation,2024,ACL,Dongjin Kang,,108.pdf,,,,"Large Language Models, Emotional Support Conversation, Preference Bias, Strategy Selection, ESConv",,,,,,,,,,,,,,
High,,109,LLM-empowered Chatbots for Psychiatrist and Patient Simulation: Application and Evaluation,2023,arXiv,Siyuan Chen,,109.pdf,,,,"LLM, Chatbot, Psychiatry, Patient Simulation, Evaluation",,,,,,,,,,,,,,
High,,110,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,2025,arXiv,Samuel Schmidgall,,110.pdf,,,,"multimodal agent benchmark, clinical simulation, large language models, medical decision-making, bias",,,,,,,,,,,,,,
High,,111,Psychological Counseling Cannot Be Achieved Overnight: Automated Psychological Counseling Through Multi-Session Conversations,2025,arXiv,Bichen Wang,,111.pdf,,,,"multi-session psychological counseling, cognitive behavioral therapy, large language model, automated counseling, multi-turn conversation",,,,,,,,,,,,,,
High,,112,Development and Evaluation of ClientBot: Patient-Like Conversational Agent to Train Basic Counseling Skills,2019,JMIR,Michael J Tanana,,112.pdf,,,,"psychotherapy training, interactive learning, conversational agents, deep learning",,,,,,,,,,,,,,
Ignored,,3,Knowledge Planning in Large Language Models for Domain-Aligned Counseling Summarization,2024,EMNLP,Aseem Srivastava,,3.pdf,,,,"knowledge planning, large language models, counseling summarization, mental health, dialogue understanding",,,,,,,,,,,,,,
Ignored,,33,Enhancing Empathetic Response Generation by Augmenting LLMs with Small-scale Empathetic Models,2024,arXiv,Zhou Yang,,33.pdf,,,,"empathetic response generation, large language models, small-scale empathetic models, hybrid framework, emotion understanding, emotion cause identification",,,,,,,,,,,,,,
Ignored,,37,Are Large Language Models More Empathetic than Humans?,2024,arXiv,Anuradha Welivita,,37.pdf,,,,"large language models, empathy, empathetic response, emotion recognition, human evaluation, GPT-4, LLaMA-2, Gemini-1.0-Pro, Mixtral-8x7B",,,,,,,,,,,,,,
Ignored,,40,Privacy in Action: Towards Realistic Privacy Mitigation and Evaluation for LLM-Powered Agents,2025,EMNLP 2025,Shouju Wang,,40.pdf,,,,"LLM agents, privacy mitigation, contextual integrity, privacy evaluation, MCP, A2A, PrivacyChecker, PrivacyLens-Live",,,,,,,,,,,,,,
Ignored,,41,Cause-Aware Empathetic Response Generation via Chain-of-Thought Fine-Tuning,2024,arXiv,Xinhao Chen,,41.pdf,,,,"Large language model, psychological understanding, psychological evaluation, mental health",,,,,,,,,,,,,,
Ignored,,42,Interactive Agents: Simulating Counselor-Client Psychological Counseling via Role-Playing LLM-to-LLM Interactions,2024,WSDM,Huachuan Qiu,,42.pdf,,,,"empathetic response generation, chain-of-thought, large language models, emotion cause, common sense knowledge, instruction tuning",,,,,,,,,,,,,,
Ignored,,43,TOOL-ED: Enhancing Empathetic Response Generation with the Tool Calling Capability of LLM,2024,arXiv,Huiying Cao,,43.pdf,,,,"Interactive Agents, LLM Simulation, Dialogue System, Role-playing, Synthetic Data, Dialogue Evaluation, Psychological Counseling",,,,,,,,,,,,,,
Ignored,,62,Speech-Integrated Modeling for Behavioral Coding in Counseling,2025,SIGDIAL,Do June Min,,62.pdf,,,,"behavioral coding, counseling, speech cues, motivational interviewing, multimodal, large language model, speech encoder, psychotherapy, paralinguistic, HuBERT",,,,,,,,,,,,,,
Ignored,,70,CataractBot: An LLM-powered Expert-in-the-Loop Chatbot for Cataract Patients,2025,ACM,Pragnya Ramjee,,70.pdf,,,,"GPT-4, Generative AI, LLM, Question Answering Bot, Medical, Healthcare, Surgery, Cataract",,,,,,,,,,,,,,
Ignored,,74,AI's Impact on Mental Health,2025,ACM,Esther Shein,,74.pdf,,,,"AI, mental health, chatbots, therapy, suicide, Nomi, Woebot, Wysa, cognitive behavioral therapy, privacy",,,,,,,,,,,,,,
Ignored,,79,Observing Dialogue in Therapy: Categorizing and Forecasting Behavioral Codes,2019,ACL,Jie Cao,,79.pdf,,,,"Motivational Interviewing, behavioral codes, dialogue modeling, psychotherapy, neural networks, categorization, forecasting, MISC",,,,,,,,,,,,,,
Ignored,,105,QLORA: Efficient Finetuning of Quantized LLMs,2023,arXiv,Tim Dettmers,,105.pdf,,,,"QLORA, efficient finetuning, quantized LLMs, 4-bit quantization, LoRA",,,,,,,,,,,,,,
Low,,5,Multi-dimensional Evaluation of Empathetic Dialogue Responses,2024,EMNLP,Zhichao Xu,,5.pdf,,,,"empathetic dialogue, empathy evaluation, multi-dimensional framework, conversational empathy, instruction-finetuned classifiers",,,,,,,,,,,,,,
Low,Evaluation Framework,8,BotChat: Evaluating LLMs’ Capabilities of Having Multi-Turn Dialogues,2024,NAACL,Haodong Duan,,8.pdf,,,,"multi-turn dialogues, LLM evaluation, GPT-4, dialogue generation, chatbot evaluation",,,,,,,,,,,,,,
Low,,46,COUNSELBENCH: A LARGE-SCALE EXPERT EVALUATION AND ADVERSARIAL BENCHMARKING OF LARGE LANGUAGE MODELS IN MENTAL HEALTH QUESTION ANSWERING,2026,ICLR 2026,Yahan Li,,46.pdf,,,,"PsychiatryBench, large language models, psychiatry, benchmark, mental health, clinical reasoning, evaluation",,,,,,,,,,,,,,
Low,,50,TherapyProbe: Generating Design Knowledge for Relational Safety in Mental Health Chatbots Through Adversarial Simulation,2026,CHI EA '26,Joydeep Chandra,,50.pdf,,,,"client simulation, conversational trajectory modeling, mental health counseling, LLM, Chinese client profile",,,,,,,,,,,,,,
Low,,66,Improving Workplace Well-being in Modern Organizations: A Review of Large Language Model-based Mental Health Chatbots,2025,ACM,Aijia Yuan,,66.pdf,,,,"large language models, mental health chatbots, workplace well-being, conversational agents, mental health, organizational settings",,,,,,,,,,,,,,
Low,,67,Revisiting Prompt Engineering: A Comprehensive Evaluation for LLM-based Personalized Recommendation,2025,RecSys '25,Genki Kusano,,67.pdf,,,,"LLM-based recommendation, prompt engineering, prompt evaluation, personalized recommendation, large language models, recommender systems, statistical analysis, reasoning",,,,,,,,,,,,,,
Low,,85,Generating Unexpected yet Relevant User Dialog Acts,2024,SIGDIAL,Lucie Galland,,85.pdf,,,,"user simulation, dialog acts, motivational interviewing, large language models, patient simulation",,,,,,,,,,,,,,
Low,,88,MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents,2025,ACL,Kunlun Zhu,,88.pdf,,,,"multi-agent systems, LLM agents, benchmark, collaboration, competition",,,,,,,,,,,,,,
Low,,103,LLM Agents for Education: Advances and Applications,2025,EMNLP,Zhendong Chu,,103.pdf,,,,"LLM agents, education, survey, personalized learning, intelligent tutoring",,,,,,,,,,,,,,
Medium,,2,CLPsych 2024: 9th Workshop on Computational Linguistics and Clinical Psychology,2024,CLPsych,Andrew Yates,,2.pdf,,,,"computational linguistics, clinical psychology, mental health, natural language processing",,,,,,,,,,,,,,
Medium,,4,CPsyCoun: A Report-based Multi-turn Dialogue Reconstruction and Evaluation Framework for Chinese Psychological Counseling,2024,ACL,Chenhao Zhang,,4.pdf,,,,"Chinese psychological counseling, multi-turn dialogue reconstruction, evaluation framework, large language models, data augmentation",,,,,,,,,,,,,,
Medium,,12,From Personas to Talks: Revisiting the Impact of Personas on LLM-Synthesized Emotional Support Conversations,2025,EMNLP,Shenghan Wu,,12.pdf,,,,"emotional support conversations, persona, large language models, dialogue generation, empathy",,,,,,,,,,,,,,
Medium,,16,Third-Person Appraisal Agent: Simulating Human Emotional Reasoning in Text with Large Language Models,2025,EMNLP,Simin Hong,,16.pdf,,,,"emotional reasoning, large language models, cognitive appraisal theory, third-person agent, reinforced fine-tuning",,,,,,,,,,,,,,
Medium,dataset model,27,"SoulChat: Improving LLMs’ Empathy, Listening, and Comfort Abilities through Fine-tuning with Multi-turn Empathy Conversations",2023,EMNLP,Yirong Chen,,27.pdf,,,,"empathy, large language models, psychological counseling, multi-turn conversations, fine-tuning",,,,,,,,,,,,,,
Medium,dataset model,28,Building Emotional Support Chatbots in the Era of LLMs,2023,arXiv,Zhonghua Zheng,,28.pdf,,,,"emotional support chatbot, large language models, dialogue dataset, LLaMA, ChatGPT, fine-tuning, in-context learning",,,,,,,,,,,,,,
Medium,,35,MT-Bench-101: A Fine-Grained Benchmark for Evaluating Large Language Models in Multi-Turn Dialogues,2024,arXiv,Ge Bai,,35.pdf,,,,"large language models, multi-turn dialogues, benchmark, evaluation, LLM, fine-grained",,,,,,,,,,,,,,
Medium,,36,ERD: A Framework for Improving LLM Reasoning for Cognitive Distortion Classification,2024,arXiv,Sehee Lim,,36.pdf,,,,"cognitive distortion classification, large language models, LLM reasoning, multi-agent debate, ERD framework",,,,,,,,,,,,,,
Medium,,48,Between Help and Harm: An Evaluation of Mental Health Crisis Handling by LLMs,2026,JMIR Mental Health,Adrian Arnaiz-Rodriguez,,48.pdf,,,,"LLM safety alignment, mental health dialogue, LLM-as-Judge, Chinese mental health, safety evaluation, PsyCrisis",,,,,,,,,,,,,,
Medium,,52,"""It's Not Only Attention We Need"": Systematic Review of Large Language Models in Mental Health Care",2025,JMIR Mental Health,Andreas Bucher,,52.pdf,,,,"Trustworthy AI Psychotherapy, Multi-Agent LLMs, Explainable Mental Disorder Diagnosis",,,,,,,,,,,,,,
Medium,,53,Evaluating Generative AI Psychotherapy Chatbots Used by Youth: Cross-Sectional Study,2025,JMIR Mental Health,Kunmi Sobowale,,53.pdf,,,,"AI, GenAI, large language models, LLM, mental health, systematic review",,,,,,,,,,,,,,
Medium,,54,AI Chatbots for Mental Health Self-Management: Lived Experience–Centered Qualitative Study,2026,JMIR Mental Health,Dong Whi Yoo,,54.pdf,,,,"large language models, generative AI, artificial intelligence, psychotherapy, psychotherapy chatbots, chatbots, conversational agent, ChatGPT, evaluation framework, digital health: therapy",,,,,,,,,,,,,,
Medium,,57,Evaluating LLM-Generated Versus Human-Authored Responses in Role-Play Dialogues,2025,INLGC,Dongxu Lu,,57.pdf,,,,"LLM evaluation, role-play dialogues, human evaluation, LLM-as-a-judge, multi-turn dialogue, knowledge-grounded dialogue, training simulations",,,,,,,,,,,,,,
Medium,,59,CharacterBox: Evaluating the Role-Playing Capabilities of LLMs in Text-Based Virtual Worlds,2025,ACL,Lei Wang,,59.pdf,,,,"CharacterBox, role-playing, LLM evaluation, virtual worlds, multi-agent, behavior trajectory, fine-tuning",,,,,,,,,,,,,,
Medium,,61,LLM Roleplay: Simulating Human-Chatbot Interaction,2025,Proceedings of the Third Workshop on Social Influence in Conversations (SICon 2025),Hovhannes Tamoyan,,61.pdf,,,,"LLM Roleplay, human-chatbot interaction simulation, persona construction, goal-driven dialogue, conversational AI, dialogue generation, sociodemographic traits",,,,,,,,,,,,,,
Medium,,73,Development of a Dementia Care Training System that Learns with Dementia Patient Agents based on LLM-Embedded in Cognitive Architecture,2025,HAI '25,Manaka Uno,,73.pdf,,,,"human-virtual agent interaction, cognitive robotics, gaming and serious games, dementia care training, LLM",,,,,,,,,,,,,,
Medium,,76,Using LLM for Conversational Assessment of Mental Health: Testing the Role of Message Contingency and User Agency,2026,CHI EA '26,Doha Kim,,76.pdf,,,,"Chatbot, Mental Health, Human-AI Interaction, Natural Language Processing, User Experience, Conversational Assessment, Message Contingency, User Agency",,,,,,,,,,,,,,
Medium,,90,Crab: A Novel Configurable Role-Playing LLM with Assessing Benchmark,2025,ACL,Kai He,,90.pdf,,,,"role-playing, large language model, benchmark, configurable, evaluation",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
