variable,cxt_value,hyh_value,count
Simulation_Target,HUMAN TRAINEE/REFRAMING ASSISTANT,PERSONA AGENT,0
Simulation_Target,HUMAN TRAINEE/REFRAMING ASSISTANT,THERAPIST AGENT,0
Simulation_Target,THERAPIST AGENT,CLIENT AGENT,1
Simulation_Target,THERAPIST AGENT,DUAL-AGENT,2
Simulation_Target,THERAPIST AGENT,HUMAN TRAINEE,0
Simulation_Target,THERAPIST AGENT,PERSONA AGENT,0
Simulation_Target,THERAPIST AGENT,THERAPIST AGENT,20
Persona_Model_Depth,BEHAVIORAL STATE MODEL,BEHAVIORAL STATE MODEL,1
Persona_Model_Depth,BEHAVIORAL STATE MODEL,COGNITIVE MODEL,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL,DYNAMIC TRAITS,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL,EXPERT PRINCIPLES,1
Persona_Model_Depth,BEHAVIORAL STATE MODEL,SURFACE PERSONA,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,1
Persona_Model_Depth,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,COGNITIVE MODEL,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,DYNAMIC TRAITS,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,EXPERT PRINCIPLES,0
Persona_Model_Depth,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,SURFACE PERSONA,0
Persona_Model_Depth,COGNITIVE MODEL,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,COGNITIVE MODEL,COGNITIVE MODEL,4
Persona_Model_Depth,COGNITIVE MODEL,DYNAMIC TRAITS,0
Persona_Model_Depth,COGNITIVE MODEL,EXPERT PRINCIPLES,0
Persona_Model_Depth,COGNITIVE MODEL,SURFACE PERSONA,0
Persona_Model_Depth,COGNITIVE MODEL / BEHAVIORAL STATE,BEHAVIORAL STATE MODEL,1
Persona_Model_Depth,COGNITIVE MODEL / BEHAVIORAL STATE,COGNITIVE MODEL,0
Persona_Model_Depth,COGNITIVE MODEL / BEHAVIORAL STATE,DYNAMIC TRAITS,0
Persona_Model_Depth,COGNITIVE MODEL / BEHAVIORAL STATE,EXPERT PRINCIPLES,0
Persona_Model_Depth,COGNITIVE MODEL / BEHAVIORAL STATE,SURFACE PERSONA,0
Persona_Model_Depth,COGNITIVE MODEL/DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,COGNITIVE MODEL/DYNAMIC TRAITS,COGNITIVE MODEL,1
Persona_Model_Depth,COGNITIVE MODEL/DYNAMIC TRAITS,DYNAMIC TRAITS,1
Persona_Model_Depth,COGNITIVE MODEL/DYNAMIC TRAITS,EXPERT PRINCIPLES,0
Persona_Model_Depth,COGNITIVE MODEL/DYNAMIC TRAITS,SURFACE PERSONA,0
Persona_Model_Depth,COGNITIVE MODEL/EXPERT PRINCIPLES,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,COGNITIVE MODEL/EXPERT PRINCIPLES,COGNITIVE MODEL,0
Persona_Model_Depth,COGNITIVE MODEL/EXPERT PRINCIPLES,DYNAMIC TRAITS,0
Persona_Model_Depth,COGNITIVE MODEL/EXPERT PRINCIPLES,EXPERT PRINCIPLES,0
Persona_Model_Depth,COGNITIVE MODEL/EXPERT PRINCIPLES,SURFACE PERSONA,1
Persona_Model_Depth,DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,2
Persona_Model_Depth,DYNAMIC TRAITS,COGNITIVE MODEL,0
Persona_Model_Depth,DYNAMIC TRAITS,DYNAMIC TRAITS,2
Persona_Model_Depth,DYNAMIC TRAITS,EXPERT PRINCIPLES,0
Persona_Model_Depth,DYNAMIC TRAITS,SURFACE PERSONA,0
Persona_Model_Depth,EXPERT PRINCIPLES,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,EXPERT PRINCIPLES,COGNITIVE MODEL,1
Persona_Model_Depth,EXPERT PRINCIPLES,DYNAMIC TRAITS,0
Persona_Model_Depth,EXPERT PRINCIPLES,EXPERT PRINCIPLES,14
Persona_Model_Depth,EXPERT PRINCIPLES,SURFACE PERSONA,4
Persona_Model_Depth,EXPERT PRINCIPLES/BEHAVIORAL MODEL,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,EXPERT PRINCIPLES/BEHAVIORAL MODEL,COGNITIVE MODEL,0
Persona_Model_Depth,EXPERT PRINCIPLES/BEHAVIORAL MODEL,DYNAMIC TRAITS,0
Persona_Model_Depth,EXPERT PRINCIPLES/BEHAVIORAL MODEL,EXPERT PRINCIPLES,1
Persona_Model_Depth,EXPERT PRINCIPLES/BEHAVIORAL MODEL,SURFACE PERSONA,0
Persona_Model_Depth,EXPERT PRINCIPLES/SURFACE PERSONA,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,EXPERT PRINCIPLES/SURFACE PERSONA,COGNITIVE MODEL,0
Persona_Model_Depth,EXPERT PRINCIPLES/SURFACE PERSONA,DYNAMIC TRAITS,0
Persona_Model_Depth,EXPERT PRINCIPLES/SURFACE PERSONA,EXPERT PRINCIPLES,1
Persona_Model_Depth,EXPERT PRINCIPLES/SURFACE PERSONA,SURFACE PERSONA,0
Persona_Model_Depth,SURFACE PERSONA,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,SURFACE PERSONA,COGNITIVE MODEL,0
Persona_Model_Depth,SURFACE PERSONA,DYNAMIC TRAITS,0
Persona_Model_Depth,SURFACE PERSONA,EXPERT PRINCIPLES,3
Persona_Model_Depth,SURFACE PERSONA,SURFACE PERSONA,12
Persona_Model_Depth,SURFACE PERSONA/DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,0
Persona_Model_Depth,SURFACE PERSONA/DYNAMIC TRAITS,COGNITIVE MODEL,0
Persona_Model_Depth,SURFACE PERSONA/DYNAMIC TRAITS,DYNAMIC TRAITS,1
Persona_Model_Depth,SURFACE PERSONA/DYNAMIC TRAITS,EXPERT PRINCIPLES,0
Persona_Model_Depth,SURFACE PERSONA/DYNAMIC TRAITS,SURFACE PERSONA,0
Theory_Operationalized,MENTIONED,MENTIONED,0
Theory_Operationalized,MENTIONED,PARTIAL,1
Theory_Operationalized,MENTIONED,STRONG,0
Theory_Operationalized,PARTIAL,MENTIONED,3
Theory_Operationalized,PARTIAL,PARTIAL,4
Theory_Operationalized,PARTIAL,STRONG,1
Theory_Operationalized,STRONG,MENTIONED,2
Theory_Operationalized,STRONG,PARTIAL,5
Theory_Operationalized,STRONG,STRONG,32
Behavior_Eval_Depth,DYNAMIC,DYNAMIC,3
Behavior_Eval_Depth,DYNAMIC,PATTERN-LEVEL,4
Behavior_Eval_Depth,DYNAMIC,STATIC,8
Behavior_Eval_Depth,STATIC,DYNAMIC,1
Behavior_Eval_Depth,STATIC,PATTERN-LEVEL,5
Behavior_Eval_Depth,STATIC,STATIC,15
Interaction_Level,EXTENDED DIALOGUE,EXTENDED DIALOGUE,23
Interaction_Level,EXTENDED DIALOGUE,LONGITUDINAL,0
Interaction_Level,EXTENDED DIALOGUE,SHORT MULTI-TURN,3
Interaction_Level,EXTENDED DIALOGUE,SINGLE-TURN,1
Interaction_Level,LONGITUDINAL,EXTENDED DIALOGUE,2
Interaction_Level,LONGITUDINAL,LONGITUDINAL,1
Interaction_Level,LONGITUDINAL,SHORT MULTI-TURN,0
Interaction_Level,LONGITUDINAL,SINGLE-TURN,0
Interaction_Level,SHORT MULTI-TURN,EXTENDED DIALOGUE,4
Interaction_Level,SHORT MULTI-TURN,LONGITUDINAL,0
Interaction_Level,SHORT MULTI-TURN,SHORT MULTI-TURN,3
Interaction_Level,SHORT MULTI-TURN,SINGLE-TURN,1
Interaction_Level,SINGLE-TURN,EXTENDED DIALOGUE,0
Interaction_Level,SINGLE-TURN,LONGITUDINAL,0
Interaction_Level,SINGLE-TURN,SHORT MULTI-TURN,2
Interaction_Level,SINGLE-TURN,SINGLE-TURN,10
Prompt_Disclosure,FULL,FULL,35
Prompt_Disclosure,FULL,NO,3
Prompt_Disclosure,FULL,PARTIAL,7
Prompt_Disclosure,NO,FULL,0
Prompt_Disclosure,NO,NO,1
Prompt_Disclosure,NO,PARTIAL,0
Prompt_Disclosure,PARTIAL,FULL,0
Prompt_Disclosure,PARTIAL,NO,2
Prompt_Disclosure,PARTIAL,PARTIAL,4
Theory_Grounding,STRONG,STRONG,31
Theory_Grounding,STRONG,WEAK,8
Theory_Grounding,WEAK,STRONG,1
Theory_Grounding,WEAK,WEAK,8
Reliability_Reported,NO,NO,19
Reliability_Reported,NO,YES,0
Reliability_Reported,YES,NO,10
Reliability_Reported,YES,YES,14
Coding Options,NO,NO,15
Coding Options,NO,YES,1
Coding Options,YES,NO,12
Coding Options,YES,YES,16
