Paper_ID,字段,字段中文,定义,cxt值,hyh值,原始证据,cxt补充证据,修正判定,理由
21,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,PARTIAL,提示的详细信息见附录。……提示的详细信息见附录。……具体提示如下：……所使用的提示如下。……1) 生成原始回答的提示,"""附录中完整披露了多个提示词模板，包括",FULL,证据表明附录完整披露了多个提示词模板，可复现。
21,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,人类专家与GPT-4o之间的平均一致性达到0.72。,人类专家与GPT-4o之间的平均一致性达到0.72。,NO,仅报告平均一致性0.72，未指定统计方法。定义要求kappa/alpha/ICC [校验修正]
23,Eval_Human_Experts,领域专家评估,领域专家（治疗师、临床医生、受过训练的标注员）是否参与评估（YES/NO）,YES,NO,在本节中，我们评估并展示了第IV节提出的咨询技能分类方法的性能，包括上下文学习和基于BERT的方法。,社会工作专家还与标注者验证并讨论了标注内容。”这些权重是根据MI框架中每个技能与每个阶段的相关性确定的，并由我们的社会工作专家（第五作者）编制。,NO,专家参与标注验证和MI权重编制属数据准备和系统设计，非评估环节 [校验修正]
23,Eval_LLM_Judge,LLM裁判评估,是否使用大模型进行打分、比较、排序（YES/NO）,YES,NO,在本节中，我们评估并展示了在第四节中提出的咨询技巧分类方法的性能，包括上下文学习和基于BERT的方法。,MI控制器利用大型语言模型（LLM）来评估当前MI阶段的目标是否已实现。,NO,MI控制器利用LLM评估MI阶段目标是系统运行时组件，非评估裁判 [校验修正]
23,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,EXTENDED DIALOGUE,SINGLE-TURN,"根据第四部分所述的话语转录语料库，我们收集了4,734个话语对(ci, si)，以形成实验数据集。",这些动态字段在输出消息生成之前生成。……拥有由大语言模型在每条消息发送后更新的动态字段，能够实现更具适应性的行为。,EXTENDED DIALOGUE,证据表明动态字段每条消息更新，隐含多轮对话，倾向于扩展对话。
23,Utility,实用性,评估中是否考察对任务是否有用/有效（YES/NO）,YES,NO,在本节中，我们评估并展示了第四节中提出的咨询技能分类方法的性能，包括上下文学习和基于BERT的方法。,AI模拟客户可以为学生提供持续接触多样化客户情景的机会……数字化系统成本低廉，因此提供了一种按需解决方案。,NO,cxt补充仅为系统潜在价值声明，无结构化评估结果 [校验修正]
29,Comparable_To_Prior_Work,与先前研究可比性,评估是否可与先前研究进行对比（YES/NO）,NO,YES,我们介绍咨询基准（Counseling Bench），这是一个从七个不同视角评估咨询过程有效性的框架。,,NO,未明确提及与先前研究对比，仅介绍新框架。
29,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,利用GPT-4和基于心理咨询评估的七个指标精心设计的提示，该模型通过一组真实咨询问题进行了评估。,如图7所示，ChatCounselor相比LLaMA-7B、Alpaca-7B、ChatGLM-v2-7B和Robins-v2-7B表现出卓越的性能。,NO,GPT-4作为裁判进行对比评估属于LLM打分，应归Eval_LLM_Judge。两者互斥 [校验修正]
29,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,SURFACE PERSONA,EXPERT PRINCIPLES,为了融入领域知识，我们采用了指令微调与自回归训练相结合的方法。在构建数据集时，我们的目标是确保回复不仅信息丰富且专业，还能融入心理咨询技能，例如反映、主动倾听和解释。,在调优阶段，假设文本输入为一系列词元……训练目标是最小化自回归损失。,SURFACE PERSONA,角色指令为表面人设分配。虽在专家数据上微调，无显式专家原则 [校验修正]
31,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,DYNAMIC,我们的评估侧重于行为的频率、其表达的时间顺序以及其对不同客户行为的适应性。,,DYNAMIC,评估了行为时间顺序和适应性，涉及轮次间变化。
31,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,准备度评估还需考虑患者安全，但这不在本研究范围内。,,NO,明确说明患者安全不在研究范围内。
31,Utility,实用性,评估中是否考察对任务是否有用/有效（YES/NO）,YES,NO,我们的评估基于高质量的治疗行为，并未在评估中纳入患者结局，这些结局既难以获取又难以模拟。,,NO,评估治疗行为质量分类，非实际治疗效果。论文明确声明未纳入患者结局 [校验修正]
34,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,PARTIAL,示例提示如附录C中的图5所示……该提示包含四个关键部分：评估任务的定义、待评估的咨询对话、评估问题及相应的指导原则。,,PARTIAL,仅展示示例提示，未披露完整提示词。
38,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,PARTIAL,对于客户端模拟，所使用的提示显示在图6中。,,PARTIAL,提示集中展示于图6，但可能不完整。
38,Uses_Dynamic_State,是否使用动态状态建模,是否使用动态状态建模（YES/NO）,YES,NO,提供给大语言模型的心理画像应显著影响咨询过程，并有助于识别特定来访者。受Schneider等（2000）及Chen等（2023）的启发，我们考虑以下信息：（1）问题与就诊原因……（2）D,“我们考虑了大五人格特质、情绪波动（EF）、不愿表达情绪（UWE）以及对治疗师的抗拒（RT）。”,NO,仅提供静态心理画像，未追踪动态变化。
47,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,我们采用LLM作为评判者的方法，该方法基于心理干预原则，利用专家定义的推理链进行上下文评估。为确保可解释性，我们设计了专家思维链推理，并在多个安全维度上应用二元逐点评分。,,NO,使用LLM-as-Judge(GPT-4o)评估，属Eval_LLM_Judge。LLM打分非算法自动计算 [校验修正]
47,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,YES,NO,我们设计专家思维链推理，并在多个安全维度上应用二元逐点评分。,,NO,评估侧重安全维度，未评估角色保真度或目标对齐。
47,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,EXPERT PRINCIPLES,SURFACE PERSONA,输入(x)取自表达心理危机或风险的现实世界社交媒体帖子。,,SURFACE PERSONA,仅使用现实世界社交媒体帖子作为输入，未引入专家原则。
47,Utility,实用性,评估中是否考察对任务是否有用/有效（YES/NO）,YES,NO,"D = {dk}5 k=1, f : X × Y →{0, 1}5 ... d1 共情与关系立场 ... d2 基于证据的情绪调节策略 ... d3 来访者关切的探索 ... d4 风险评估与识别 ... d5 外部资源转介",,YES,评估了共情、策略等实用维度，直接考察有用性。
49,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,三位专业咨询师一致将此量表评为7分。...三位专家同意给定的标签。,,YES,报告三位专家一致评分，明确说明一致同意。
56,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,SURFACE PERSONA,EXPERT PRINCIPLES,"为了从给定Q的大型语言模型M中引出答案，我们采用以下提示策略：
• 零样本（ZS）：M在无任务特定训练的情况下回答Qh，使用附录表A5中的提示模板。
• 少样本（FS）：M在查看示范性问题Q1,...,Qn后回答Qh（Brown, 20",,SURFACE PERSONA,仅采用基础提示策略，未构建深度用户画像。
56,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,这产生了845个两位注释者在能力标注上意见一致的问题，以及767个意见不一致的问题。,,NO,仅报告一致数量，未报告标准化信度系数。
58,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,NO,YES,最终平均准确率达到90.7%，一致率超过80%。,,YES,明确报告了一致率超过80%，属于一致性的报告。
58,Comparable_To_Prior_Work,与先前研究可比性,评估是否可与先前研究进行对比（YES/NO）,NO,YES,为了评估人类表现，我们另请了两位CBT专家来解决测试集，最终平均准确率达到90.7%，一致率超过80%。,,NO,原始证据未提及与先前研究进行对比，仅是内部专家评估
58,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,NO,YES,标准1：提出与个性化CBT案例概念化相一致的CBT目标与任务……标准4：保持与广义CBT取向的一致性,,YES,评估标准明确要求与CBT案例概念化和取向一致，涉及角色保真度
58,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,本文旨在全面探讨利用大型语言模型（LLMs）辅助专业心理治疗的潜力。为此，我们提出一个新的基准——CBT-BENCH，用于系统评估认知行为疗法（CBT）辅助效果。,,NO,未涉及不同模型/条件测试或消融实验，仅提出基准
58,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,EXPERT PRINCIPLES,SURFACE PERSONA,现在，你是一名专业治疗师，正在与来访者进行认知行为疗法（CBT）的会谈。,,SURFACE PERSONA,简单角色声明，评估标准存在于评估框架中，非用户画像建模 [校验修正]
58,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,最终达到了平均准确率为90.7%，一致率超过80%。,,NO,仅报告百分比一致率，未报告标准化系数如Cohen's kappa或ICC
60,Eval_Lay_Users,普通用户评估,非专家/普通用户是否参与评估（YES/NO）,YES,NO,完成后，对话由专家根据上述标准采用5点李克特量表进行评估。,,NO,评估由专家进行，未涉及普通用户
60,Human Learning / Outcomes,人类学习/成效,评估中是否考察人类学习或行为改变（YES/NO）,YES,NO,训练聊天机器人的局限性，导致[AUTO-FIXED],,NO,未评估人类学习或行为改变，仅提及训练局限性
63,Has_Rubric,评分标准,是否提供了明确的评分标准/评分指引（YES/NO）,YES,NO,参与者使用5点李克特量表评估每个回答的适当性，量表标签为“最不适当”、“不适当”、“中立”、“适当”和“最适当”。,,YES,提供了5点李克特量表及明确标签，构成明确评分标准
63,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,SHORT MULTI-TURN,EXTENDED DIALOGUE,每段对话包含治疗师与患者之间约5-10个话轮的交流，且均以患者的信息作为结尾。,,EXTENDED DIALOGUE,每段对话5-10轮，包含6轮以上情况，符合扩展对话定义
63,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,SURFACE PERSONA,EXPERT PRINCIPLES,为生成回应，我们为大型语言模型设计了一个提示词。该提示词经过迭代优化，以贴合治疗师的对话风格，确保回应具有开放性、简洁性和治疗性。,,EXPERT PRINCIPLES,提示词设计旨在贴合治疗师对话风格，体现专家原则
63,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,参与者使用5点李克特量表评估每个回答的适当性，量表标签为“最不适当”、“不适当”、“中立”、“适当”和“最适当”。,,NO,未明确涉及有害输出测试或伦理声明，仅评估适当性
65,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,SURFACE PERSONA/DYNAMIC TRAITS,DYNAMIC TRAITS,人格特征基于针对大五人格特质[2]微调的文本分类模型结果，该模型的分类准确率为96%。,,DYNAMIC TRAITS,基于大五人格特质建模，属于动态特质
65,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,PARTIAL,NO,我们自行部署了一个开源大语言模型，该模型通过提示工程利用了积累的人格信息。,,NO,未展示任何提示词内容，不足以复现
65,Theory_Operationalized,理论操作化程度,理论操作化程度: Strong（评估标准明确源于理论）/ Partial（理论被提及并部分操作化）/ Mentioned（理论仅被提及，未操作化）/ None（没有使用任何理论）,PARTIAL,MENTIONED,人格特征档案基于针对大五人格特质[2]微调的文本分类模型结果，该模型的分类准确率达到96%。,,PARTIAL,大五人格理论被用于构建文本分类模型，实现了部分操作化
68,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,为弥补这一空白，我们设计了七项评估心理健康大语言模型的指标（见表2）。这些创新指标旨在构建一个更契合心理健康咨询应用特殊需求的综合评估框架。,,NO,仅设计指标，未明确使用算法自动计算
68,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,首先，依赖GPT-3.5 Turbo生成的合成数据可能引入偏差或缺乏真实人类互动的深度。表3显示，在微调过程中结合合成数据与访谈数据并未持续提升模型性能；在某些情况下，反而导致性能下降。,,YES,原始证据明确提及合成数据偏差导致性能下降，属于失败案例分析。
68,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,EXPERT PRINCIPLES/SURFACE PERSONA,EXPERT PRINCIPLES,推进关于具有同理心、个性化的人工智能解决方案的前沿研究,,SURFACE PERSONA,原始证据仅提及‘推进具有同理心、个性化的人工智能解决方案’，未描述具体建模深度，符合表面人设。
68,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,NO,除了这些问题之外，模型还获得了如下明确的指令。,,FULL,原始证据指出‘模型还获得了如下明确的指令’，表明prompt已完整披露。
69,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,PATTERN-LEVEL,总体而言，用户每次对话发送的中位消息数为10.0条（四分位距=8.0−14.0）。中位任务完成时间为9.2分钟（四分位距=6.4−10.7）。……为评估用户在对话中的参与度，我们还分析了用户消息数量、每条消息的字符数（CPM）以及每条消息的单词数。,,PATTERN-LEVEL,原始证据统计了用户消息数量、字符数等分布，属于模式级分析。
69,Dataset_Available,数据集公开性,数据集是否公开可用（YES/NO）,YES,NO,总体而言，用户每次对话发送的中位消息数为10.0条（四分位距=8.0−14.0）。中位任务完成时间为9.2分钟（四分位距=6.4−10.7）。,,NO,原始证据仅描述统计结果，未提及数据集公开可用。
69,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,总体而言，用户每次对话发送的中位消息数为10.0条（IQR = 8.0−14.0）。任务完成时间的中位数为9.2分钟（IQR = 6.4−10.7）。,,NO,原始证据未涉及失败案例分析。
69,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,我们应用了技术感知共情量表（PETS）[69]来检验以下假设：H1a 展示代理的内在共情共鸣会提升整体感知共情。,,NO,原始证据仅使用单一量表测试假设，未进行多模型/条件鲁棒性测试。
69,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,SHORT MULTI-TURN,EXTENDED DIALOGUE,总体而言，用户每轮对话发送消息的中位数为10.0条（IQR = 8.0−14.0）。,,EXTENDED DIALOGUE,用户消息中位数10条，属于6轮以上对话。
69,Theory_Grounding,理论支撑度,理论支撑度: Strong（明确使用公认理论来定义或测量）/ Weak（提及了概念但未在评估中实际操作化）/ None（没有真正的理论支撑）,STRONG,WEAK,我们应用了技术感知共情量表(PETS)[69]来检验以下假设: H1a 显示代理的内部共情共振会提升整体感知共情。,,STRONG,使用了公认的PETS量表进行测量，理论操作化明确。
71,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,PATTERN-LEVEL,对每段对话计算LIWC指标，然后对每个用户的两个对话任务取平均值（总计N=200，每组n=50），并使用Kruskal-Wallis检验进行分析。,,PATTERN-LEVEL,对LIWC指标取平均值并分析，属于模式级统计。
71,Dataset_Available,数据集公开性,数据集是否公开可用（YES/NO）,YES,NO,包含原始FER2013图像名称的文件已包含在补充材料中。... 源代码可在https://github.com/kaiaka/mllm-chatbot.git获取。,,YES,补充材料包含FER2013图像名称，源代码公开。
71,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,YES,NO,为了评估感知到的共情，我们按照建议使用了十个PETS项目，采用从“强烈不同意”到“强烈同意”的101点交互式滑块，并按随机顺序排列[92]。,,NO,评估感知共情而非情绪反应的真实性。
71,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,SHORT MULTI-TURN,EXTENDED DIALOGUE,数年前，我曾领导一个跨职能团队，期间有位同事屡次在会议中削弱我的决策权威。他非但不私下讨论分歧，反而在全体成员面前质疑我，使我显得准备不足。我既感到受挫又觉屈辱，却不愿激化矛盾。请问您会建议如何处理此类情况？,,EXTENDED DIALOGUE,任务要求5-10分钟对话，同期数据显示用户消息中位数10条/对话，符合扩展对话标准 [人工确认]
71,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,EXPERT PRINCIPLES,SURFACE PERSONA,你的角色是充当一个共情且反思的聊天机器人，帮助用户探索和理解具有挑战性的人际情境。遵循以下指导原则：- 反思并回应消息中表达的情绪。- 跟踪情绪随时间的变化，并利用这些信息来引导对……（原文截断）,,EXPERT PRINCIPLES,原始证据明确列出了指导原则如‘跟踪情绪变化’，属于专家原则。
71,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,为了评估感知到的共情，我们按照建议使用了十个PETS项目，以101点交互式滑块的形式呈现，从强烈不同意到强烈同意，并按随机顺序排列[92]。,,NO,原始证据未涉及有害输出测试或伦理讨论。
71,Theory_Operationalized,理论操作化程度,理论操作化程度: Strong（评估标准明确源于理论）/ Partial（理论被提及并部分操作化）/ Mentioned（理论仅被提及，未操作化）/ None（没有使用任何理论）,PARTIAL,STRONG,"共情可以被视为一个包含认知成分和情感成分的维度结构[11, 25, 28, 92]。",,PARTIAL,论文仅提及共情的二维结构，未将评估标准明确源自该理论。
71,Uses_Dynamic_State,是否使用动态状态建模,是否使用动态状态建模（YES/NO）,YES,NO,系统以5帧/秒的速度捕获摄像头的RGB视频流，并将其裁剪至检测到的人脸边界框内...捕获的图像以120×160像素的分辨率进行缓存，并持续添加至单张缓冲网格图像中，该网格图像展示过去四秒内的图像序列。,,NO,4秒视频缓冲是视觉预处理流水线，非长期心理动态模型的验证 [人工确认]
72,Eval_Human_Experts,领域专家评估,领域专家（治疗师、临床医生、受过训练的标注员）是否参与评估（YES/NO）,YES,NO,未使用真实的来访者转录或临床医生互动；生态效度必须通过人类受试者进行确认。,,NO,论文明确声明未使用真实临床医生互动，未进行领域专家评估。
